,asin,num_ratings,photo_url,price,rank,star_rating,title,url,department,page
1718,B0766218YG,,"https://images-na.ssl-images-amazon.com/images/I/71uLuB8IAzL._AC_UL300_SR300,200_.jpg",,19,,,https://www.amazon.com/Hit-Monkey-2nd-Marvel-comic-book/dp/B0766218YG/ref=zg_bs_g_entertainment-collectibles_d_sccl_19/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1719,B089T64JGM,,"https://images-na.ssl-images-amazon.com/images/I/614Q7RDnN3L._AC_UL300_SR300,200_.jpg",,20,,,https://www.amazon.com/Disney-Pin-Vinylmation-Animation-Collection/dp/B089T64JGM/ref=zg_bs_g_entertainment-collectibles_d_sccl_20/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1720,B0DQ66DRFY,,"https://images-na.ssl-images-amazon.com/images/I/61LWCYAFAZL._AC_UL300_SR300,200_.jpg",,21,,,https://www.amazon.com/Archie-Christmas-Spectacular-2024-comic/dp/B0DQ66DRFY/ref=zg_bs_g_entertainment-collectibles_d_sccl_21/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1721,B0DJHD77W4,,"https://images-na.ssl-images-amazon.com/images/I/91ZX6RbpaIL._AC_UL300_SR300,200_.jpg",$24.99,22,,,https://www.amazon.com/SONIC-HEDGEHOG-Original-Poster-Shadow/dp/B0DJHD77W4/ref=zg_bs_g_entertainment-collectibles_d_sccl_22/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1722,B09HPFWWVS,,"https://images-na.ssl-images-amazon.com/images/I/81Mo896wFkL._AC_UL300_SR300,200_.jpg",,23,,,https://www.amazon.com/Topps-Battle-Plans-Trading-Complete/dp/B09HPFWWVS/ref=zg_bs_g_entertainment-collectibles_d_sccl_23/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1723,B00J5S8JEW,,"https://images-na.ssl-images-amazon.com/images/I/51LzOtZCMgL._AC_UL300_SR300,200_.jpg",$4.00,24,,,https://www.amazon.com/trading-Empire-Strikes-Topps-Harrison/dp/B00J5S8JEW/ref=zg_bs_g_entertainment-collectibles_d_sccl_24/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1724,B07QFCDFCY,163,"https://images-na.ssl-images-amazon.com/images/I/51xGItQkSFL._AC_UL300_SR300,200_.jpg",$3.99,25,4.7,"Ajani, the Greathearted",https://www.amazon.com/Magic-Gathering-Ajani-Greathearted-Spark/dp/B07QFCDFCY/ref=zg_bs_g_entertainment-collectibles_d_sccl_25/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1725,B0765ZZHPX,,"https://images-na.ssl-images-amazon.com/images/I/51Ioxdrtp-L._AC_UL300_SR300,200_.jpg",,26,,,https://www.amazon.com/Eclipso-FN-DC-comic-book/dp/B0765ZZHPX/ref=zg_bs_g_entertainment-collectibles_d_sccl_26/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1726,B083NFC699,,"https://images-na.ssl-images-amazon.com/images/I/713EIU4ce2L._AC_UL300_SR300,200_.jpg",,27,,,https://www.amazon.com/Beavis-Butt-Head-Marvel-comic-Print/dp/B083NFC699/ref=zg_bs_g_entertainment-collectibles_d_sccl_27/144-5451170-7524417?psc=1,Entertainment Collectibles,1
1727,B086Z6PFJR,66,"https://images-na.ssl-images-amazon.com/images/I/41UPBdg31ML._AC_UL300_SR300,200_.jpg",,28,4.7,"Nethroi, Apex of Death",https://www.amazon.com/Magic-The-Gathering-Singles-Nethroi/dp/B086Z6PFJR/ref=zg_bs_g_entertainment-collectibles_d_sccl_28/144-5451170-7524417?psc=1,Entertainment Collectibles,1
